NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
1-0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
2-0	0.0736	0.0000	0.0000	0.0000	0.0000	0.0858	0.5745	0.4110	0.0000	0.0000
3-0	0.1056	0.0000	0.0000	0.0000	0.1020	0.1957	0.3769	0.4675	0.0000	0.0621
4-0	0.1459	0.0000	0.0000	0.0419	0.0900	0.1907	0.3944	0.5205	0.0000	0.0241
5-0	0.1351	0.0000	0.0735	0.0395	0.0200	0.3393	0.3253	0.4625	0.0000	0.0207
6-0	0.1697	0.0000	0.0500	0.0186	0.0240	0.3095	0.3362	0.5060	0.0000	0.0172
7-0	0.2112	0.0000	0.0500	0.0791	0.0220	0.2858	0.3235	0.5274	0.0000	0.0138
8-0	0.2494	0.0000	0.0500	0.1767	0.0120	0.3084	0.3301	0.5234	0.0000	0.0000
9-0	0.2888	0.0000	0.0471	0.1279	0.0580	0.3321	0.3371	0.5181	0.0000	0.0000
10-0	0.3189	0.0000	0.0235	0.2181	0.0360	0.2806	0.3113	0.5402	0.0000	0.0034
11-0	0.3396	0.0000	0.0412	0.3344	0.0280	0.2824	0.2769	0.5352	0.0000	0.0034
12-0	0.3408	0.0000	0.0294	0.2878	0.1020	0.3049	0.2890	0.5314	0.0000	0.0069
13-0	0.3502	0.0000	0.1118	0.2191	0.1127	0.3378	0.2691	0.5405	0.0000	0.0034
14-0	0.3467	0.0000	0.1143	0.2961	0.0584	0.3397	0.3197	0.5488	0.0000	0.0069
15-0	0.3823	0.0000	0.1230	0.3234	0.1360	0.3520	0.2961	0.4936	0.0000	0.0034
16-0	0.3563	0.0000	0.1376	0.3493	0.1240	0.3771	0.3515	0.5122	0.0000	0.0103
17-0	0.3687	0.0250	0.1434	0.3752	0.0953	0.3696	0.3420	0.5126	0.0000	0.0000
