NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
1-8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3095	0.0000	0.0000	0.0000
2-7	0.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.2290	0.1980	0.0000	0.0000
3-1	0.1210	0.0000	0.0000	0.0000	0.0000	0.0155	0.2335	0.1910	0.0000	0.0000
4-6	0.1640	0.0000	0.0000	0.0000	0.0000	0.0265	0.2825	0.2240	0.0000	0.0000
5-7	0.1150	0.0000	0.0000	0.0000	0.0000	0.0840	0.2910	0.2455	0.0000	0.0305
6-1	0.1590	0.0000	0.0000	0.0325	0.0000	0.1515	0.2800	0.2200	0.0000	0.0150
7-6	0.1780	0.0000	0.0000	0.0435	0.0000	0.1490	0.2715	0.2015	0.0000	0.0060
8-8	0.1540	0.0000	0.0000	0.0100	0.0035	0.1315	0.2700	0.2150	0.0000	0.0215
9-1	0.2230	0.0000	0.0000	0.0225	0.0070	0.1490	0.2500	0.2450	0.0000	0.0355
10-5	0.2305	0.0000	0.0000	0.0660	0.0225	0.2085	0.2905	0.2550	0.0000	0.0350
11-4	0.1800	0.0000	0.0000	0.0560	0.1015	0.1780	0.2190	0.2305	0.0000	0.0165
12-8	0.2145	0.0000	0.0050	0.1070	0.1270	0.1255	0.2580	0.1815	0.0000	0.0515
13-1	0.1930	0.0000	0.0165	0.1110	0.0640	0.1270	0.2265	0.2075	0.0010	0.0735
14-2	0.1980	0.0000	0.0065	0.0945	0.1310	0.1205	0.2150	0.1975	0.0145	0.0240
15-8	0.1600	0.0010	0.0400	0.1060	0.0825	0.1065	0.2230	0.2230	0.0020	0.0580
16-7	0.2250	0.0035	0.0340	0.0940	0.0915	0.1440	0.2165	0.2210	0.0025	0.0855
17-8	0.2520	0.0015	0.0095	0.1270	0.1395	0.1915	0.2555	0.2370	0.0150	0.0550
18-4	0.2255	0.0170	0.0055	0.0940	0.0710	0.1620	0.1625	0.2335	0.0115	0.0185
19-5	0.2555	0.0235	0.0100	0.1380	0.0680	0.1450	0.2680	0.2235	0.0025	0.0460
20-7	0.2560	0.0000	0.0170	0.0855	0.1025	0.1510	0.2315	0.2645	0.0005	0.0455
21-5	0.2180	0.0145	0.0035	0.0780	0.0835	0.0835	0.1925	0.1810	0.0020	0.0275
22-1	0.2705	0.0000	0.0455	0.0955	0.0285	0.1395	0.2520	0.2355	0.0000	0.0430
23-8	0.2435	0.0000	0.0565	0.1235	0.0860	0.2085	0.2000	0.2430	0.0045	0.0125
24-7	0.2450	0.0260	0.0340	0.1180	0.1020	0.1680	0.2840	0.2240	0.0075	0.0595
25-1	0.3385	0.0045	0.0310	0.1415	0.1805	0.2340	0.2705	0.3160	0.0185	0.0925
26-1	0.3240	0.0000	0.0900	0.1845	0.1540	0.2190	0.3190	0.3125	0.0070	0.0480
27-4	0.3360	0.0025	0.0310	0.2110	0.2240	0.1725	0.3065	0.2895	0.0135	0.1015
28-5	0.2960	0.0020	0.0935	0.0990	0.1515	0.2165	0.2975	0.3040	0.0050	0.0485
29-1	0.2840	0.0005	0.0395	0.1320	0.1685	0.2415	0.2430	0.2835	0.0250	0.0500
30-8	0.3405	0.0095	0.0585	0.1550	0.2645	0.1760	0.2955	0.3055	0.0080	0.0215
31-7	0.2415	0.0350	0.0655	0.1660	0.2140	0.1580	0.2800	0.2725	0.0010	0.0460
32-4	0.3070	0.0065	0.0915	0.1995	0.2520	0.1630	0.3035	0.2955	0.0015	0.0940
33-6	0.3190	0.0045	0.1470	0.2395	0.2260	0.1865	0.2735	0.2720	0.0005	0.0700
34-6	0.3675	0.0000	0.1030	0.1755	0.2315	0.2440	0.2790	0.3005	0.0055	0.0660
35-10	0.3315	0.0000	0.1270	0.2270	0.2435	0.1405	0.3185	0.2610	0.0200	0.0800
36-10	0.3415	0.0090	0.1030	0.1290	0.1445	0.1145	0.2290	0.3010	0.0135	0.0595
37-8	0.3420	0.0120	0.1545	0.1520	0.1545	0.1370	0.2960	0.2975	0.0120	0.0670
38-10	0.3045	0.0050	0.1595	0.0520	0.1900	0.1215	0.3035	0.2420	0.0270	0.0315
39-8	0.3300	0.0000	0.1845	0.1850	0.2045	0.1655	0.2950	0.2730	0.0145	0.1035
40-3	0.3095	0.0340	0.1010	0.1155	0.1265	0.1415	0.3120	0.2970	0.0460	0.1025
41-10	0.3205	0.0040	0.1245	0.1365	0.2070	0.2090	0.2640	0.2765	0.0285	0.1215
42-4	0.3615	0.0165	0.1450	0.1985	0.1375	0.1660	0.3180	0.2750	0.0510	0.1085
43-3	0.2435	0.0000	0.2210	0.2505	0.2660	0.1405	0.2650	0.2405	0.0045	0.1320
44-7	0.3135	0.0295	0.1740	0.1500	0.2075	0.1225	0.3160	0.2775	0.0215	0.0585
45-6	0.3415	0.0020	0.1700	0.2395	0.2245	0.1935	0.4095	0.3700	0.0105	0.0960
46-8	0.3075	0.0015	0.1750	0.3195	0.1725	0.2375	0.3355	0.2930	0.0490	0.1285
47-1	0.3295	0.0070	0.0925	0.1930	0.2105	0.1850	0.3530	0.3040	0.0135	0.0920
48-6	0.2055	0.0295	0.1080	0.2325	0.2600	0.2125	0.2800	0.2270	0.0170	0.1185
49-5	0.3625	0.0100	0.0385	0.1130	0.1680	0.2550	0.3760	0.3020	0.0065	0.0925
50-5	0.3640	0.0045	0.0905	0.1510	0.1760	0.2435	0.3095	0.3575	0.0030	0.0910
51-3	0.3125	0.0010	0.0395	0.1750	0.1880	0.1725	0.2075	0.3020	0.0555	0.1190
52-7	0.2645	0.0295	0.1835	0.1605	0.3040	0.1970	0.2545	0.2750	0.0265	0.0800
53-6	0.3465	0.0440	0.1200	0.1100	0.2345	0.1725	0.2830	0.3285	0.0335	0.1095
54-5	0.2770	0.0115	0.0845	0.1815	0.2155	0.2620	0.2745	0.2685	0.0105	0.1020
55-8	0.2875	0.0405	0.1530	0.1590	0.1925	0.1915	0.2830	0.2715	0.0260	0.1080
56-1	0.3760	0.0150	0.1420	0.1470	0.2345	0.1440	0.2915	0.2895	0.0160	0.0970
57-7	0.3270	0.0505	0.0610	0.1045	0.1550	0.1820	0.2595	0.3055	0.0100	0.1175
58-10	0.2955	0.0450	0.1010	0.1845	0.2260	0.1990	0.2950	0.2900	0.0265	0.0675
59-1	0.3465	0.0065	0.1075	0.1340	0.2270	0.1965	0.3910	0.3800	0.0155	0.0945
60-1	0.3360	0.0565	0.1190	0.1895	0.2315	0.3170	0.3715	0.2625	0.0075	0.0730
61-7	0.3145	0.0235	0.1725	0.1715	0.2025	0.1665	0.3620	0.2890	0.0185	0.1105
62-1	0.3110	0.0600	0.0945	0.1165	0.1880	0.2140	0.3520	0.2710	0.0065	0.0465
63-5	0.3835	0.0140	0.0340	0.0890	0.1540	0.2170	0.3595	0.2735	0.0385	0.0950
64-1	0.3585	0.0365	0.0935	0.1310	0.1630	0.1710	0.2645	0.2930	0.0330	0.0735
65-6	0.3670	0.0315	0.0405	0.1055	0.1660	0.2755	0.2555	0.3520	0.0390	0.0420
66-1	0.3160	0.0595	0.0695	0.1235	0.2030	0.2260	0.3050	0.3110	0.0050	0.0815
67-6	0.4240	0.0055	0.1015	0.1135	0.2195	0.1715	0.3305	0.3345	0.0110	0.1020
68-1	0.3070	0.0040	0.0640	0.0935	0.1675	0.2720	0.2700	0.2865	0.0070	0.0910
69-10	0.3210	0.0405	0.0590	0.0890	0.1260	0.1600	0.2095	0.2245	0.0070	0.0745
70-7	0.3030	0.0325	0.0940	0.0935	0.1325	0.2030	0.2990	0.2710	0.0230	0.0895
