NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
1-7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
2-8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9465	0.3902	0.0000	0.0000
3-1	0.0649	0.0000	0.0000	0.0000	0.0000	0.0000	0.9753	0.1869	0.0000	0.0000
4-1	0.1518	0.0000	0.0000	0.0000	0.0000	0.0000	0.7901	0.1939	0.0000	0.0000
5-8	0.0325	0.0000	0.0000	0.0000	0.0000	0.0000	0.4403	0.8571	0.0000	0.0000
6-8	0.0108	0.0000	0.0000	0.0000	0.0000	0.0000	0.3128	0.9014	0.0000	0.0000
7-4	0.0195	0.0000	0.0000	0.5116	0.0000	0.0000	0.3045	0.8826	0.0000	0.0000
8-7	0.0217	0.0000	0.0000	0.1395	0.0000	0.0000	0.6322	0.7347	0.0000	0.0000
9-8	0.0043	0.0000	0.0000	0.1163	0.0000	0.0000	0.4339	0.8235	0.0000	0.0000
10-4	0.0369	0.0000	0.0000	0.5000	0.0000	0.0000	0.5496	0.6800	0.0000	0.0000
11-1	0.0804	0.0000	0.0000	0.4524	0.0000	0.0000	0.4545	0.6612	0.0000	0.0000
12-8	0.0348	0.0000	0.0000	0.5000	0.0000	0.0000	0.3760	0.8420	0.0000	0.0000
13-6	0.0348	0.0000	0.0000	0.2857	0.0000	0.2963	0.3388	0.8325	0.0000	0.0000
14-8	0.0239	0.0000	0.0000	0.3571	0.0000	0.1975	0.3388	0.8582	0.0000	0.0000
15-8	0.0283	0.0000	0.0000	0.3571	0.0000	0.0617	0.3843	0.8626	0.0000	0.0000
16-4	0.0261	0.0000	0.0000	0.6098	0.0000	0.1358	0.3802	0.8697	0.0000	0.0000
17-1	0.0436	0.0000	0.0000	0.5854	0.0000	0.1605	0.3223	0.8815	0.0000	0.0000
18-6	0.0414	0.0000	0.0000	0.6829	0.0000	0.4410	0.4050	0.8389	0.0000	0.0000
19-8	0.0240	0.0000	0.0000	0.6585	0.0000	0.4286	0.3099	0.8931	0.0000	0.0000
20-6	0.0174	0.0000	0.0000	0.7561	0.0000	0.4625	0.2934	0.8860	0.0000	0.0000
21-4	0.0240	0.0000	0.0000	0.8000	0.0000	0.4625	0.2975	0.8812	0.0000	0.0000
22-6	0.0174	0.0000	0.0000	0.7000	0.0000	0.5031	0.3140	0.8860	0.0000	0.0000
23-8	0.0174	0.0000	0.0000	0.6500	0.0000	0.5157	0.2149	0.9048	0.0000	0.0000
24-8	0.0196	0.0000	0.0000	0.7500	0.0000	0.4969	0.2603	0.8663	0.0000	0.0000
25-8	0.0218	0.0000	0.0000	0.5500	0.0000	0.5031	0.3140	0.8852	0.0000	0.0000
26-1	0.0284	0.0000	0.0000	0.6750	0.0000	0.4843	0.2397	0.9043	0.0000	0.0000
27-7	0.0349	0.0000	0.0000	0.6500	0.0000	0.4906	0.4066	0.8493	0.0000	0.0000
28-8	0.0240	0.0000	0.0000	0.7000	0.0000	0.4906	0.3942	0.8681	0.0000	0.0000
29-6	0.0437	0.0000	0.0000	0.7500	0.0000	0.6772	0.3983	0.8537	0.0000	0.0000
30-8	0.0262	0.0000	0.0000	0.7500	0.0000	0.6266	0.3237	0.8558	0.0000	0.0000
31-8	0.0109	0.0000	0.0000	0.6250	0.0000	0.6709	0.3237	0.8916	0.0000	0.0000
32-7	0.0240	0.0000	0.0000	0.6250	0.0000	0.5570	0.3667	0.8795	0.0000	0.0000
33-3	0.0240	0.0000	0.0294	0.4000	0.0000	0.6266	0.3958	0.8867	0.0000	0.0000
34-8	0.0175	0.0000	0.0588	0.3750	0.0000	0.6266	0.3375	0.9034	0.0000	0.0000
35-8	0.0109	0.0000	0.0294	0.3500	0.0000	0.6329	0.3792	0.9080	0.0000	0.0000
36-6	0.0022	0.0000	0.0294	0.3500	0.0000	0.7707	0.2792	0.8838	0.0000	0.0000
37-7	0.0175	0.0000	0.1176	0.4500	0.0000	0.7834	0.3808	0.8717	0.0000	0.0000
38-5	0.0066	0.0000	0.0588	0.5000	0.0000	0.7452	0.3180	0.8838	0.0000	0.0000
39-5	0.0066	0.0000	0.0588	0.4000	0.0612	0.7261	0.4017	0.8838	0.0000	0.0000
40-8	0.0044	0.0000	0.0588	0.4500	0.0204	0.7325	0.3305	0.8932	0.0000	0.0000
41-5	0.0022	0.0000	0.1471	0.4500	0.1667	0.7325	0.4393	0.8568	0.0000	0.0000
42-6	0.0044	0.0000	0.0882	0.4250	0.1458	0.7628	0.3682	0.8811	0.0000	0.0000
43-5	0.0109	0.0000	0.0294	0.4000	0.2340	0.7628	0.2803	0.8544	0.0000	0.0000
44-7	0.0066	0.0000	0.1176	0.5000	0.2128	0.7436	0.3782	0.8519	0.0000	0.0000
45-5	0.0044	0.0000	0.1471	0.5500	0.4348	0.7436	0.2647	0.8738	0.0000	0.0000
46-7	0.0022	0.0000	0.1471	0.5750	0.3043	0.7628	0.4008	0.8641	0.0000	0.0000
47-6	0.0022	0.0000	0.1471	0.5000	0.2826	0.7419	0.4262	0.8568	0.0000	0.0000
48-6	0.0044	0.0000	0.1471	0.4750	0.3261	0.7468	0.4388	0.8447	0.0000	0.0000
49-6	0.0044	0.0000	0.1765	0.4000	0.3261	0.7516	0.4473	0.8641	0.0000	0.0000
50-6	0.0087	0.0000	0.2059	0.3500	0.3261	0.7632	0.5063	0.8325	0.0000	0.0000
51-4	0.0306	0.0000	0.1765	0.5641	0.3261	0.7697	0.4177	0.8131	0.0000	0.0000
52-8	0.0066	0.0000	0.1176	0.5641	0.3478	0.7566	0.4093	0.8370	0.0000	0.0000
53-1	0.2538	0.0000	0.1471	0.6154	0.3043	0.7237	0.3376	0.7518	0.0000	0.0000
54-1	0.3026	0.0000	0.1471	0.5385	0.3261	0.7632	0.3460	0.7202	0.0000	0.0000
55-8	0.2763	0.0000	0.2059	0.5641	0.3478	0.6842	0.3797	0.7854	0.0000	0.0000
56-8	0.2654	0.0000	0.2059	0.5385	0.3696	0.6579	0.3249	0.7897	0.0000	0.0000
57-6	0.2851	0.0000	0.2353	0.5385	0.3478	0.6887	0.3840	0.7604	0.0000	0.0000
58-10	0.2719	0.0000	0.1765	0.5385	0.3261	0.6556	0.4093	0.7604	0.0000	0.0000
59-1	0.2769	0.0000	0.2059	0.4872	0.3913	0.6623	0.2954	0.7824	0.0000	0.0000
60-10	0.2659	0.0000	0.1471	0.5128	0.3043	0.6490	0.3586	0.7726	0.0000	0.0000
61-1	0.2996	0.0000	0.1176	0.4359	0.3261	0.6623	0.3291	0.7433	0.0000	0.0000
62-8	0.3194	0.0000	0.1471	0.4872	0.2826	0.6755	0.3882	0.7475	0.0000	0.0000
63-6	0.2797	0.0000	0.1765	0.5128	0.3261	0.7133	0.3207	0.7598	0.0000	0.0357
64-7	0.2797	0.0000	0.1176	0.5128	0.3261	0.7133	0.5424	0.7623	0.0000	0.0000
65-7	0.2511	0.0000	0.1176	0.5128	0.3261	0.7200	0.5617	0.7574	0.0000	0.0000
66-1	0.2627	0.0000	0.1176	0.5128	0.3261	0.7133	0.5617	0.7721	0.0000	0.0357
67-1	0.3075	0.0000	0.1471	0.5128	0.2826	0.7200	0.5957	0.7353	0.0000	0.0000
68-6	0.2942	0.0000	0.1176	0.5128	0.3043	0.7047	0.5915	0.7402	0.0000	0.0000
69-6	0.3097	0.0000	0.1471	0.5128	0.2826	0.7230	0.5872	0.7059	0.0000	0.0357
70-4	0.3075	0.0000	0.1176	0.5526	0.3043	0.7162	0.5489	0.7157	0.0000	0.0000
71-10	0.3230	0.0000	0.1471	0.5526	0.2174	0.7162	0.6255	0.7206	0.0000	0.1111
72-4	0.2788	0.0000	0.1765	0.5405	0.2174	0.6892	0.5872	0.7157	0.0000	0.1111
73-1	0.3481	0.0000	0.1176	0.5676	0.2174	0.6892	0.5957	0.6593	0.0000	0.0741
74-9	0.3902	0.0000	0.0882	0.5405	0.2609	0.7027	0.5404	0.6961	0.0000	0.0741
75-6	0.3858	0.0000	0.1176	0.5405	0.2391	0.7143	0.4936	0.7083	0.0000	0.0741
76-1	0.4111	0.0000	0.1471	0.5405	0.2174	0.7143	0.5957	0.6740	0.0000	0.0741
77-6	0.3978	0.0000	0.1176	0.5405	0.1957	0.7055	0.5277	0.7059	0.0000	0.0741
78-7	0.4000	0.0000	0.0882	0.5676	0.1739	0.7123	0.5684	0.6520	0.0000	0.1111
79-8	0.4111	0.0000	0.0294	0.5405	0.1957	0.6849	0.5214	0.6511	0.0000	0.0741
80-1	0.4053	0.0000	0.1176	0.5405	0.2174	0.6918	0.4957	0.6708	0.0000	0.1111
81-1	0.4353	0.0000	0.1176	0.5405	0.2174	0.6986	0.5299	0.6708	0.0000	0.0741
82-8	0.3728	0.0000	0.1471	0.5405	0.2609	0.6986	0.5043	0.6847	0.0000	0.1111
83-10	0.3817	0.0000	0.0588	0.5405	0.2609	0.6438	0.5299	0.6970	0.0000	0.1538
84-8	0.3705	0.0000	0.0882	0.5405	0.1957	0.6781	0.4915	0.7136	0.0000	0.1923
85-6	0.3661	0.0000	0.0882	0.6216	0.2174	0.6966	0.4872	0.7185	0.0000	0.1154
86-6	0.4129	0.0000	0.0882	0.6757	0.1522	0.7569	0.4829	0.6568	0.0000	0.1154
87-1	0.3915	0.0000	0.0882	0.6757	0.1739	0.6806	0.5000	0.6222	0.0000	0.1538
88-4	0.3400	0.0000	0.0588	0.6389	0.1304	0.7153	0.5000	0.6667	0.0000	0.0769
89-1	0.4215	0.0000	0.0882	0.6111	0.1522	0.7153	0.4359	0.6494	0.0000	0.0769
90-1	0.4157	0.0000	0.1176	0.6389	0.1957	0.7222	0.4915	0.6272	0.0000	0.1154
91-1	0.4077	0.0000	0.0588	0.6667	0.1739	0.7639	0.4915	0.6272	0.0000	0.1154
92-6	0.4324	0.0000	0.0588	0.6389	0.2174	0.7413	0.4274	0.6370	0.0000	0.1154
93-7	0.3851	0.0000	0.0882	0.6389	0.1522	0.7273	0.4850	0.6568	0.0000	0.1538
94-1	0.4289	0.0000	0.0588	0.6389	0.1957	0.7343	0.4549	0.6444	0.0000	0.0769
95-4	0.4447	0.0000	0.0588	0.8000	0.1739	0.7413	0.4893	0.6469	0.0000	0.1154
96-1	0.4412	0.0000	0.0882	0.6000	0.1739	0.7413	0.4807	0.6074	0.0000	0.0385
