NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
1-8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6650	0.0000	0.0000	0.0000
2-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3050	0.2600	0.0000	0.0000
3-1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4-8	0.4600	0.0000	0.0000	0.0000	0.0000	0.0000	0.1350	0.1250	0.0000	0.0000
5-8	0.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.2700	0.6700	0.0000	0.0000
6-4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2050	0.5100	0.0000	0.0000
7-7	0.0100	0.0000	0.0000	0.2600	0.0000	0.0000	0.1300	0.4000	0.0000	0.0000
8-8	0.0500	0.0000	0.0000	0.0300	0.0000	0.0000	0.1050	0.8400	0.0000	0.0000
9-4	0.0000	0.0000	0.0000	0.3900	0.0000	0.0000	0.4050	0.5850	0.0000	0.0000
10-1	1.3000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0150	0.5400	0.0000	0.0000
11-8	0.0900	0.0000	0.0000	0.0200	0.0000	0.0000	0.0400	0.3750	0.0000	0.0000
12-6	0.3300	0.0000	0.0000	0.3000	0.0000	0.0000	0.2000	0.6200	0.0000	0.0000
13-8	0.0000	0.0000	0.0000	0.0500	0.0000	0.1050	0.0450	1.0400	0.0000	0.0000
14-8	0.5750	0.0000	0.0000	0.0200	0.0000	0.3000	0.1000	0.4100	0.0000	0.0000
15-4	0.0000	0.0000	0.0000	1.0800	0.0000	0.0400	0.2000	0.1300	0.0000	0.0000
16-1	0.1200	0.0000	0.0000	0.0250	0.0000	0.0200	0.2200	0.4500	0.0000	0.0000
17-6	0.0250	0.0000	0.0000	0.5250	0.0000	0.1250	0.0500	0.6500	0.0000	0.0000
18-8	0.1650	0.0000	0.0000	0.1050	0.0000	0.0750	0.0500	1.1900	0.0000	0.0000
19-6	0.0100	0.0000	0.0000	0.3050	0.0000	0.9400	0.0450	0.5750	0.0000	0.0000
20-4	0.0000	0.0000	0.0000	2.5850	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21-6	0.0000	0.0000	0.0000	1.1150	0.0000	0.6300	0.2100	0.1950	0.0000	0.0000
22-8	0.0050	0.0000	0.0000	0.0000	0.0000	0.0500	0.0350	2.6200	0.0000	0.0000
23-8	0.1150	0.0000	0.0000	0.0000	0.0000	0.0950	0.0100	2.7150	0.0000	0.0000
24-8	0.1400	0.0000	0.0000	0.0000	0.0000	0.1750	0.0400	1.4150	0.0000	0.0000
25-1	0.0250	0.0000	0.0000	0.0050	0.0000	0.1100	0.0150	3.0500	0.0000	0.0000
26-7	0.2450	0.0000	0.0000	0.0200	0.0000	0.0200	0.0800	2.4500	0.0000	0.0000
27-8	0.1000	0.0000	0.0000	0.0050	0.0000	0.1000	0.0050	1.3350	0.0000	0.0000
28-6	0.0200	0.0000	0.0000	0.0400	0.0000	0.0550	0.0500	2.4250	0.0000	0.0000
29-8	0.1200	0.0000	0.0000	0.0000	0.0000	0.0600	0.0200	2.9300	0.0000	0.0000
30-8	0.0750	0.0000	0.0000	0.0100	0.0000	0.1600	0.2200	1.2150	0.0000	0.0000
31-7	0.9200	0.0000	0.0000	0.0000	0.0000	0.0650	0.0650	1.2550	0.0000	0.0000
32-3	0.0300	0.0000	0.0000	0.8350	0.0000	0.0150	0.6050	0.8400	0.0000	0.0000
33-8	0.4100	0.0000	0.0100	0.0000	0.0000	0.0400	0.0750	0.5650	0.0000	0.0000
34-8	0.0950	0.0000	0.0050	0.0000	0.0000	0.0250	0.0050	1.4700	0.0000	0.0000
35-6	0.0550	0.0000	0.0100	0.0050	0.0000	0.6300	0.0100	2.3850	0.0000	0.0000
36-7	0.0300	0.0000	0.0150	0.2550	0.0000	0.0800	0.2100	2.0000	0.0000	0.0000
37-5	0.0300	0.0000	0.1350	0.2400	0.0000	0.1900	0.1400	0.2900	0.0000	0.0000
38-5	0.0300	0.0000	0.1550	0.0700	0.0350	0.0000	0.4300	1.7550	0.0000	0.0000
39-8	0.1000	0.0000	0.0050	0.0000	0.1200	0.0450	0.6900	0.7100	0.0000	0.0000
40-5	0.0200	0.0000	0.0250	0.0000	0.1400	0.0300	0.0300	3.1250	0.0000	0.0000
41-6	0.0200	0.0000	0.0100	0.1650	0.0200	1.7350	0.0550	0.3450	0.0000	0.0000
42-5	0.0000	0.0000	0.0400	0.2950	0.6300	0.0250	0.0450	0.8450	0.0000	0.0000
43-7	0.1100	0.0000	0.0000	0.0000	0.0000	0.0250	0.0100	1.7900	0.0000	0.0000
44-5	0.0000	0.0000	0.0250	0.7500	0.8800	0.1150	0.0000	0.0650	0.0000	0.0000
45-7	0.0150	0.0000	0.0000	0.0000	0.0150	0.1450	0.0100	2.6750	0.0000	0.0000
46-6	0.0100	0.0000	0.0000	0.0850	0.0250	2.6600	0.0000	0.1050	0.0000	0.0000
47-6	0.0000	0.0000	0.0050	0.2450	0.0000	3.5400	0.0150	0.0050	0.0000	0.0000
48-6	0.0000	0.0000	0.0000	0.4450	0.0050	3.4700	0.0150	0.0600	0.0000	0.0000
49-6	0.0000	0.0000	0.0000	0.0050	0.0050	5.4700	0.0000	0.0550	0.0000	0.0000
50-4	0.0000	0.0000	0.0050	0.9450	0.3600	2.4850	0.0100	0.0000	0.0000	0.0000
51-8	0.0850	0.0000	0.0000	0.0000	0.0400	0.0700	0.0750	2.0600	0.0000	0.0000
52-1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
53-1	0.0050	0.0000	0.0000	0.0000	0.0200	0.0500	0.0150	3.2650	0.0000	0.0000
54-8	0.0200	0.0000	0.0000	0.0000	0.0000	4.1750	0.0350	0.4350	0.0000	0.0000
55-8	0.0950	0.0000	0.0000	0.0000	0.0950	0.1400	0.2450	0.2800	0.0000	0.0000
